name,kind,category
"カンデサルタン シレキセチル","generic_ingredient","腎不全"
"カンデサルタン錠／OD錠","generic_product","腎不全"
"キックリンカプセル／顆粒","brand_product","腎不全"
"キドミン輸液／ネオアミユー輸液","brand_product","腎不全"
"クエン酸第一鉄Na錠／ナトリウム錠","generic_product","腎不全"
"クエン酸第一鉄ナトリウム","generic_ingredient","腎不全"
"クエン酸第二鉄水和物","generic_ingredient","腎不全"
"グスペリムス塩酸塩","generic_ingredient","腎移植"
"グラセプターカプセル","brand_product","腎移植"
"グラセプターカプセル（徐放性）","brand_product","腎移植"
"グルコン酸カルシウム水和物","generic_ingredient","腎不全"
"クレメジンカプセル／細粒／速崩錠","brand_product","腎不全"
"ケイキサレート散／ドライシロップ","brand_product","腎不全"
"ケレンディア錠","brand_product","腎不全"
"コニール錠","brand_product","腎不全"
"コバシル錠","brand_product","腎不全"
"コルスバ静注透析用シリンジ","brand_product","腎不全"
"サーティカン錠","brand_product","腎移植"
"サイモグロブリン点滴静注用25mg","brand_product","腎移植"
"ザイロリック錠","brand_product","腎不全"
"サクビトリルバルサルタン ナトリウム水和物","generic_ingredient","腎不全"
"サムスカ錠／OD錠／顆粒","brand_product","腎不全"
"サンディミュン点滴静注用／内用液","brand_product","腎移植"
"シクロスポリン","generic_ingredient","腎移植"
"シクロスポリンカプセル 等","generic_product","腎移植"
"シナカルセト塩酸塩","generic_ingredient","腎不全"
"ジフェリケファリン酢酸塩","generic_ingredient","腎不全"
"ジフルカンカプセル／静注液","brand_product","腎移植"
"シムレクト静注用20mg／小児用10mg","brand_product","腎移植"
"ジャディアンス錠","brand_product","腎不全"
"ジルコニウムシクロケイ酸ナトリウム水和物","generic_ingredient","腎不全"
"ジルチアゼム塩酸塩","generic_ingredient","腎不全"
"ジルチアゼム塩酸塩錠 等","generic_product","腎不全"
"シルニジピン","generic_ingredient","腎不全"
"シルニジピン錠","generic_product","腎不全"
"スクロオキシ水酸化鉄","generic_ingredient","腎不全"
"スパニジン点滴静注用100mg","brand_product","腎移植"
"スピロノラクトン","generic_ingredient","腎不全"
"スピロノラクトン錠","generic_product","腎不全"
"スルファメトキサゾール・トリメトプリム配合","generic_ingredient","腎移植"
"スロンノンHI注","brand_product","腎不全"
"セパミット細粒／Rカプセル","generic_product","腎不全"
"セベラマー塩酸塩","generic_ingredient","腎不全"
"セララ錠","brand_product","腎不全"
"セルセプトカプセル250／懸濁用散","brand_product","腎移植"
"ソル・メドロール静注用","brand_product","腎移植"
"ダーブロック錠","brand_product","腎不全"
"ダイアート錠","brand_product","腎不全"
"ダイフェン配合錠／配合顆粒","generic_product","腎移植"
"タクロリムスカプセル／錠／顆粒","generic_product","腎移植"
"タクロリムス水和物","generic_ingredient","腎移植"
"タクロリムス水和物（徐放性製剤）","generic_ingredient","腎移植"
"タケプロン、ネキシウム 等","brand_product","腎移植"
"タケプロンカプセル／OD錠","brand_product","腎移植"
"タナトリル錠","brand_product","腎不全"
"ダパグリフロジンプロピレングリコール水和物","generic_ingredient","腎不全"
"ダプロデュスタット","generic_ingredient","腎不全"
"ダルテパリンNa静注","generic_product","腎不全"
"ダルテパリンナトリウム","generic_ingredient","腎不全"
"ダルベポエチン アルファ（遺伝子組換え）","generic_ingredient","腎不全"
"ダルベポエチンアルファBS注シリンジ","generic_product","腎不全"
"ダルベポエチンアルファ注シリンジ","generic_product","腎不全"
"ディオバン錠／OD錠","brand_product","腎不全"
"テナパノル塩酸塩","generic_ingredient","腎不全"
"デノシン点滴静注用","brand_product","腎移植"
"デノシン点滴静注用500mg","brand_product","腎移植"
"テモカプリル塩酸塩","generic_ingredient","腎不全"
"テモカプリル塩酸塩錠","generic_product","腎不全"
"デルイソマルトース第二鉄","generic_ingredient","腎不全"
"テルミサルタン","generic_ingredient","腎不全"
"テルミサルタン錠／OD錠","generic_product","腎不全"
"ドキサゾシンメシル酸塩","generic_ingredient","腎不全"
"ドキサゾシン錠","generic_product","腎不全"
"ドチヌラド","generic_ingredient","腎不全"
"トピロキソスタット","generic_ingredient","腎不全"
"トピロリック錠","brand_product","腎不全"
"トピロリック錠／ウリアデック錠","brand_product","腎不全"
"トラセミド","generic_ingredient","腎不全"
"トラセミド錠／OD錠","generic_product","腎不全"
"トリクロルメチアジド","generic_ingredient","腎不全"
"トリクロルメチアジド錠","generic_product","腎不全"
"トルバプタン","generic_ingredient","腎不全"
"トルバプタン錠／OD錠","generic_product","腎不全"
"ナトリックス錠","brand_product","腎不全"
"ナトリックス錠／テナキシル錠","brand_product","腎不全"
"ナファモスタットメシル酸塩","generic_ingredient","腎不全"
"ナファモスタットメシル酸塩注射用 等","generic_product","腎不全"
"ナルフラフィン塩酸塩","generic_ingredient","腎不全"
"ナルフラフィン塩酸塩カプセル／OD錠","generic_product","腎不全"
"ニフェジピン","generic_ingredient","腎不全"
"ニフェジピン（徐放性）","generic_ingredient","腎不全"
"ニフェジピンCR錠 等","generic_product","腎不全"
"ニューロタン錠","brand_product","腎不全"
"ネオーラルカプセル／内用液","brand_product","腎移植"
"ネオーラルカプセル／内用液（注射：サンディミュン）","brand_product","腎移植"
"ネスプ注射液プラシリンジ","brand_product","腎不全"
"ノバスタンHI注","brand_product","腎不全"
"ノバスタンHI注／スロンノンHI注","brand_product","腎不全"
"ノルバスク錠／OD錠","brand_product","腎不全"
"ノルバスク錠／アムロジン錠","brand_product","腎不全"
"パーサビブ静注透析用","brand_product","腎不全"
"バイフィル（透析用）","generic_product","腎不全"
"バクタ配合錠／配合顆粒","brand_product","腎移植"
"バクタ配合錠／配合顆粒（注射：バクトラミン）","brand_product","腎移植"
"バクトラミン注／配合錠","brand_product","腎移植"
"バシリキシマブ（遺伝子組換え）","generic_ingredient","腎移植"
"バダデュスタット","generic_ingredient","腎不全"
"バフセオ錠","brand_product","腎不全"
"バラクルード錠0.5mg","brand_product","腎移植"
"バラシクロビル塩酸塩","generic_ingredient","腎移植"
"バラシクロビル錠／顆粒 等","generic_product","腎移植"
"バリキサ錠450mg／ドライシロップ","brand_product","腎移植"
"バルガンシクロビル塩酸塩","generic_ingredient","腎移植"
"バルサルタン","generic_ingredient","腎不全"
"バルサルタン錠／OD錠","generic_product","腎不全"
"バルトレックス錠／顆粒","brand_product","腎移植"
"ピートルチュアブル錠／顆粒","brand_product","腎不全"
"ビキサロマー","generic_ingredient","腎不全"
"ビソノテープ（経皮吸収型）","brand_product","腎不全"
"ビソプロロールフマル酸塩","generic_ingredient","腎不全"
"ビソプロロールフマル酸塩錠","generic_product","腎不全"
"ファレカルシトリオール","generic_ingredient","腎不全"
"フィネレノン","generic_ingredient","腎不全"
"フェインジェクト静注500mg","brand_product","腎不全"
"フェジン静注","brand_product","腎不全"
"フェブキソスタット","generic_ingredient","腎不全"
"フェブキソスタット錠／OD錠","generic_product","腎不全"
"フェブリク錠","brand_product","腎不全"
"フェロミア錠／顆粒","brand_product","腎不全"
"フォシーガ錠","brand_product","腎不全"
"フォスブロック錠","brand_product","腎不全"
"フォゼベル錠","brand_product","腎不全"
"フラグミン静注","brand_product","腎不全"
"フルイトラン錠","brand_product","腎不全"
"フルコナゾール","generic_ingredient","腎移植"
"フルコナゾールカプセル／静注 等","generic_product","腎移植"
"ブレディニン錠／OD錠","brand_product","腎移植"
"プレドニゾロン","generic_ingredient","腎移植"
"プレドニゾロン錠／散 等","generic_product","腎移植"
"プレドニン錠（注射：水溶性プレドニン）","brand_product","腎移植"
"プレドニン錠／プレドニゾロン錠・散","brand_product","腎移植"
"プレバイミス錠240mg／点滴静注240mg","brand_product","腎移植"
"プログラフカプセル／顆粒／注射液","brand_product","腎移植"
"フロセミド","generic_ingredient","腎不全"
"フロセミド錠／細粒／注 等","generic_product","腎不全"
"プロトンポンプ阻害薬（例：ランソプラゾール、エソメプラゾール）","generic_ingredient","腎移植"
"ブロプレス錠","brand_product","腎不全"
"ベニジピン塩酸塩","generic_ingredient","腎不全"
"ベニジピン塩酸塩錠","generic_product","腎不全"
"ヘパフィルド透析用","generic_product","腎不全"
"ヘパフラッシュ","generic_product","腎不全"
"ヘパリンNa注 等","generic_product","腎不全"
"ヘパリンナトリウム","generic_ingredient","腎不全"
"ヘパリンナトリウム注 等","generic_product","腎不全"
"ヘパリンナトリウム注（各社）","brand_product","腎不全"
"ペリンドプリルエルブミン","generic_ingredient","腎不全"
"ペリンドプリルエルブミン錠","generic_product","腎不全"
"ヘルベッサー錠／Rカプセル","brand_product","腎不全"
"ヘルベッサー錠／Rカプセル／注","brand_product","腎不全"
"ベンズブロマロン","generic_ingredient","腎不全"
"ベンズブロマロン錠","generic_product","腎不全"
"ホーネル錠／フルスタン錠","brand_product","腎不全"
"ホスカビル注24mg/mL","brand_product","腎移植"
"ホスカルネットナトリウム水和物","generic_ingredient","腎移植"
"ホスレノールチュアブル錠／OD錠／顆粒","brand_product","腎不全"
"ポリスチレンスルホン酸Ca経口ゼリー／散 等","generic_product","腎不全"
"ポリスチレンスルホン酸Na 等","generic_product","腎不全"
"ポリスチレンスルホン酸カルシウム","generic_ingredient","腎不全"
"ポリスチレンスルホン酸ナトリウム","generic_ingredient","腎不全"
"マキサカルシトール","generic_ingredient","腎不全"
"マキサカルシトール静注透析用 等","generic_product","腎不全"
"マスーレッド錠","brand_product","腎不全"
"ミカルディス錠","brand_product","腎不全"
"ミコフェノール酸モフェチル","generic_ingredient","腎移植"
"ミコフェノール酸モフェチルカプセル","generic_product","腎移植"
"ミゾリビン","generic_ingredient","腎移植"
"ミネブロ錠／OD錠","brand_product","腎不全"
"ミルセラ注シリンジ","brand_product","腎不全"
"メイロン静注","generic_product","腎不全"
"メインテート錠","brand_product","腎不全"
"メインテート錠（貼付：ビソノテープ）","brand_product","腎不全"
"メチルプレドニゾロン","generic_ingredient","腎移植"
"メチルプレドニゾロンコハク酸エステルナトリウム","generic_ingredient","腎移植"
"メドロール錠","brand_product","腎移植"
"モノヴァー静注","brand_product","腎不全"
"モリデュスタットナトリウム","generic_ingredient","腎不全"
"ユリス錠","brand_product","腎不全"
"ユリノーム錠","brand_product","腎不全"
"ラシックス錠／注","brand_product","腎不全"
"ランソプラゾール","generic_ingredient","腎移植"
"ランソプラゾールOD錠 等","generic_product","腎移植"
"リオナ錠","brand_product","腎不全"
"リシノプリル錠","generic_product","腎不全"
"リシノプリル水和物","generic_ingredient","腎不全"
"リツキサン点滴静注","brand_product","腎移植"
"リツキサン点滴静注100mg／500mg","brand_product","腎移植"
"リツキシマブ（遺伝子組換え）","generic_ingredient","腎移植"
"リツキシマブ（再掲）","generic_ingredient","腎移植"
"リツキシマブBS点滴静注","generic_product","腎移植"
"ルプラック錠","brand_product","腎不全"
"レグパラ錠","brand_product","腎不全"
"レテルモビル","generic_ingredient","腎移植"
"レナジェル錠","brand_product","腎不全"
"レナジェル錠／フォスブロック錠","brand_product","腎不全"
"レニベース錠","brand_product","腎不全"
"レボカルニチン","generic_ingredient","腎不全"
"レボカルニチン錠／内用液 等","generic_product","腎不全"
"レミッチカプセル／OD錠","brand_product","腎不全"
"ロカルトロールカプセル","brand_product","腎不全"
"ロカルトロールカプセル／注","brand_product","腎不全"
"ロカルトロール注","brand_product","腎不全"
"ロキサデュスタット","generic_ingredient","腎不全"
"ロケルマ懸濁用散分包","brand_product","腎不全"
"ロサルタンカリウム","generic_ingredient","腎不全"
"ロサルタンカリウム錠／ロサルタンK錠","generic_product","腎不全"
"ロンゲス錠","brand_product","腎不全"
"ロンゲス錠／ゼストリル錠","brand_product","腎不全"
"ワンアルファ錠","brand_product","腎不全"
"含糖酸化鉄","generic_ingredient","腎不全"
"球形吸着炭","generic_ingredient","腎不全"
"球形吸着炭細粒／カプセル","generic_product","腎不全"
"抗ヒト胸腺細胞ウサギ免疫グロブリン","generic_ingredient","腎移植"
"抗ヒト胸腺細胞ウサギ免疫グロブリン（再掲）","generic_ingredient","腎移植"
"重ソー（原末 等）","generic_product","腎不全"
"腎不全用アミノ酸製剤","generic_ingredient","腎不全"
"炭カル錠","generic_product","腎不全"
"炭酸ランタンOD錠／チュアブル錠／顆粒","generic_product","腎不全"
"炭酸ランタン水和物","generic_ingredient","腎不全"
"炭酸水素Na","generic_product","腎不全"
"炭酸水素ナトリウム","generic_ingredient","腎不全"
"炭酸水素ナトリウム（原末・錠）","generic_product","腎不全"
"炭酸水素ナトリウム錠／原末（静注：メイロン）","brand_product","腎不全"
"注射用フサン","brand_product","腎不全"
"沈降炭酸カルシウム","generic_ingredient","腎不全"
"沈降炭酸カルシウム錠 等","generic_product","腎不全"
"アスピリン腸溶錠 等","generic_product","支持療法・併存症"
"アスピリン（腸溶錠）","generic_ingredient","支持療法・併存症"
"アセトアミノフェン","generic_ingredient","支持療法・併存症"
"アセトアミノフェン錠 等","generic_product","支持療法・併存症"
"アトルバスタチンカルシウム水和物","generic_ingredient","支持療法・併存症"
"アトルバスタチン錠 等","generic_product","支持療法・併存症"
"アピキサバン","generic_ingredient","支持療法・併存症"
"アミティーザカプセル","brand_product","支持療法・併存症"
"アレグラ錠","brand_product","支持療法・併存症"
"アレロック錠／OD錠","brand_product","支持療法・併存症"
"アレンドロン酸ナトリウム水和物","generic_ingredient","支持療法・併存症"
"アレンドロン酸錠 等","generic_product","支持療法・併存症"
"アログリプチン安息香酸塩","generic_ingredient","支持療法・併存症"
"アログリプチン錠 等","generic_product","支持療法・併存症"
"イグザレルト錠／OD錠","brand_product","支持療法・併存症"
"インスリン アスパルト（遺伝子組換え）","generic_ingredient","支持療法・併存症"
"インスリン グラルギン（遺伝子組換え）","generic_ingredient","支持療法・併存症"
"インスリン デグルデク（遺伝子組換え）","generic_ingredient","支持療法・併存症"
"インスリン リスプロ（遺伝子組換え）","generic_ingredient","支持療法・併存症"
"インスリンアスパルトBS注 等","generic_product","支持療法・併存症"
"インスリングラルギンBS注 等","generic_product","支持療法・併存症"
"インスリンリスプロBS注 等","generic_product","支持療法・併存症"
"エクア錠","brand_product","支持療法・併存症"
"エスゾピクロン","generic_ingredient","支持療法・併存症"
"エスゾピクロン錠 等","generic_product","支持療法・併存症"
"エゼチミブ","generic_ingredient","支持療法・併存症"
"エゼチミブ錠 等","generic_product","支持療法・併存症"
"エソメプラゾールカプセル 等","generic_product","支持療法・併存症"
"エソメプラゾールマグネシウム水和物","generic_ingredient","支持療法・併存症"
"エディロールカプセル","brand_product","支持療法・併存症"
"エドキサバントシル酸塩水和物","generic_ingredient","支持療法・併存症"
"エフィエント錠","brand_product","支持療法・併存症"
"エリキュース錠","brand_product","支持療法・併存症"
"エルデカルシトール","generic_ingredient","支持療法・併存症"
"エルデカルシトールカプセル 等","generic_product","支持療法・併存症"
"エロビキシバット水和物","generic_ingredient","支持療法・併存症"
"オゼンピック皮下注／リベルサス錠","brand_product","支持療法・併存症"
"オロパタジン塩酸塩","generic_ingredient","支持療法・併存症"
"オロパタジン塩酸塩錠 等","generic_product","支持療法・併存症"
"カロナール錠／細粒／坐剤","brand_product","支持療法・併存症"
"ガスター錠／D錠／注","brand_product","支持療法・併存症"
"ガスモチン錠","brand_product","支持療法・併存症"
"クラリチン錠／レディタブ","brand_product","支持療法・併存症"
"クレストール錠／OD錠","brand_product","支持療法・併存症"
"クロピドグレル硫酸塩","generic_ingredient","支持療法・併存症"
"クロピドグレル錠 等","generic_product","支持療法・併存症"
"グルファスト錠","brand_product","支持療法・併存症"
"グーフィス錠","brand_product","支持療法・併存症"
"コルヒチン","generic_ingredient","支持療法・併存症"
"コルヒチン錠","brand_product","支持療法・併存症"
"ザイザル錠／シロップ","brand_product","支持療法・併存症"
"シタグリプチンリン酸塩水和物","generic_ingredient","支持療法・併存症"
"シタグリプチン錠 等","generic_product","支持療法・併存症"
"シュアポスト錠","brand_product","支持療法・併存症"
"シロスタゾール","generic_ingredient","支持療法・併存症"
"シロスタゾール錠／OD錠 等","generic_product","支持療法・併存症"
"ジャヌビア錠／グラクティブ錠","brand_product","支持療法・併存症"
"ジルテック錠","brand_product","支持療法・併存症"
"スボレキサント","generic_ingredient","支持療法・併存症"
"セチリジン塩酸塩","generic_ingredient","支持療法・併存症"
"セチリジン塩酸塩錠 等","generic_product","支持療法・併存症"
"セマグルチド","generic_ingredient","支持療法・併存症"
"セレコキシブ","generic_ingredient","支持療法・併存症"
"セレコキシブ錠 等","generic_product","支持療法・併存症"
"セレコックス錠","brand_product","支持療法・併存症"
"センノシド","generic_ingredient","支持療法・併存症"
"センノシド錠 等","generic_product","支持療法・併存症"
"ゼチーア錠","brand_product","支持療法・併存症"
"ゾルピデム酒石酸塩","generic_ingredient","支持療法・併存症"
"ゾルピデム酒石酸塩錠 等","generic_product","支持療法・併存症"
"タケキャブ錠／OD錠","brand_product","支持療法・併存症"
"タリオン錠／OD錠","brand_product","支持療法・併存症"
"タリージェ錠／OD錠","brand_product","支持療法・併存症"
"ツムラ芍薬甘草湯エキス顆粒","brand_product","支持療法・併存症"
"テネリア錠／OD錠","brand_product","支持療法・併存症"
"テネリグリプチン臭化水素酸塩水和物","generic_ingredient","支持療法・併存症"
"テネリグリプチン錠 等","generic_product","支持療法・併存症"
"デエビゴ錠","brand_product","支持療法・併存症"
"デザレックス錠","brand_product","支持療法・併存症"
"デスロラタジン","generic_ingredient","支持療法・併存症"
"デノスマブ（遺伝子組換え）","generic_ingredient","支持療法・併存症"
"デュラグルチド","generic_ingredient","支持療法・併存症"
"トラゼンタ錠","brand_product","支持療法・併存症"
"トラマドール塩酸塩","generic_ingredient","支持療法・併存症"
"トラマドール塩酸塩OD錠 等","generic_product","支持療法・併存症"
"トラマールOD錠／ワントラム錠","brand_product","支持療法・併存症"
"トルリシティ皮下注アテオス","brand_product","支持療法・併存症"
"トレシーバ注","brand_product","支持療法・併存症"
"ネキシウムカプセル／懸濁用顆粒","brand_product","支持療法・併存症"
"ネシーナ錠","brand_product","支持療法・併存症"
"ノベルジン錠","brand_product","支持療法・併存症"
"ノボラピッド注","brand_product","支持療法・併存症"
"バイアスピリン錠","brand_product","支持療法・併存症"
"パリエット錠","brand_product","支持療法・併存症"
"パルモディア錠／XR錠","brand_product","支持療法・併存症"
"ヒューマログ注","brand_product","支持療法・併存症"
"ヒルドイドソフト軟膏／ローション／フォーム","brand_product","支持療法・併存症"
"ビラスチン","generic_ingredient","支持療法・併存症"
"ビラスチン錠 等","generic_product","支持療法・併存症"
"ビラノア錠／OD錠","brand_product","支持療法・併存症"
"ビルダグリプチン","generic_ingredient","支持療法・併存症"
"ビルダグリプチン錠 等","generic_product","支持療法・併存症"
"ビ・シフロール錠","brand_product","支持療法・併存症"
"ピコスルファートNa内用液 等","generic_product","支持療法・併存症"
"ピコスルファートナトリウム水和物","generic_ingredient","支持療法・併存症"
"ピタバスタチンカルシウム","generic_ingredient","支持療法・併存症"
"ピタバスタチン錠 等","generic_product","支持療法・併存症"
"ファモチジン","generic_ingredient","支持療法・併存症"
"ファモチジン錠／OD錠 等","generic_product","支持療法・併存症"
"フェキソフェナジン塩酸塩","generic_ingredient","支持療法・併存症"
"フェキソフェナジン塩酸塩錠 等","generic_product","支持療法・併存症"
"ブロチゾラム","generic_ingredient","支持療法・併存症"
"ブロチゾラム錠 等","generic_product","支持療法・併存症"
"プラスグレル塩酸塩","generic_ingredient","支持療法・併存症"
"プラバスタチンNa錠 等","generic_product","支持療法・併存症"
"プラバスタチンナトリウム","generic_ingredient","支持療法・併存症"
"プラビックス錠","brand_product","支持療法・併存症"
"プラミペキソール塩酸塩水和物","generic_ingredient","支持療法・併存症"
"プラミペキソール塩酸塩錠 等","generic_product","支持療法・併存症"
"プラリア皮下注","brand_product","支持療法・併存症"
"プリンペラン錠／注","brand_product","支持療法・併存症"
"プルゼニド錠","brand_product","支持療法・併存症"
"プレガバリン","generic_ingredient","支持療法・併存症"
"プレガバリンOD錠 等","generic_product","支持療法・併存症"
"プレタール錠／OD錠","brand_product","支持療法・併存症"
"ヘパリン類似物質","generic_ingredient","支持療法・併存症"
"ヘパリン類似物質油性クリーム／ローション 等","generic_product","支持療法・併存症"
"ベポタスタチンベシル酸塩","generic_ingredient","支持療法・併存症"
"ベポタスタチンベシル酸塩錠 等","generic_product","支持療法・併存症"
"ベルソムラ錠","brand_product","支持療法・併存症"
"ペマフィブラート","generic_ingredient","支持療法・併存症"
"ボナロン錠／経口ゼリー（フォサマック錠）","brand_product","支持療法・併存症"
"ボノプラザンフマル酸塩","generic_ingredient","支持療法・併存症"
"マイスリー錠","brand_product","支持療法・併存症"
"マクロゴール4000配合","generic_ingredient","支持療法・併存症"
"マグミット錠／細粒","brand_product","支持療法・併存症"
"ミチグリニドカルシウム水和物","generic_ingredient","支持療法・併存症"
"ミチグリニド錠 等","generic_product","支持療法・併存症"
"ミロガバリンベシル酸塩","generic_ingredient","支持療法・併存症"
"ムコスタ錠","brand_product","支持療法・併存症"
"メトクロプラミド","generic_ingredient","支持療法・併存症"
"メトクロプラミド錠 等","generic_product","支持療法・併存症"
"メバロチン錠","brand_product","支持療法・併存症"
"モサプリドクエン酸塩水和物","generic_ingredient","支持療法・併存症"
"モサプリドクエン酸塩錠 等","generic_product","支持療法・併存症"
"モニラック・シロップ／ラグノスNU経口ゼリー","brand_product","支持療法・併存症"
"モビコール配合内用剤","brand_product","支持療法・併存症"
"ラキソベロン内用液／錠","brand_product","支持療法・併存症"
"ラクツロース","generic_ingredient","支持療法・併存症"
"ラクツロースシロップ 等","generic_product","支持療法・併存症"
"ラベプラゾールNa錠 等","generic_product","支持療法・併存症"
"ラベプラゾールナトリウム","generic_ingredient","支持療法・併存症"
"ラメルテオン","generic_ingredient","支持療法・併存症"
"ラメルテオン錠 等","generic_product","支持療法・併存症"
"ランタス注ソロスター／XR注","brand_product","支持療法・併存症"
"リクシアナ錠／OD錠","brand_product","支持療法・併存症"
"リナクロチド","generic_ingredient","支持療法・併存症"
"リナグリプチン","generic_ingredient","支持療法・併存症"
"リバロ錠／OD錠","brand_product","支持療法・併存症"
"リバーロキサバン","generic_ingredient","支持療法・併存症"
"リピトール錠","brand_product","支持療法・併存症"
"リリカカプセル／OD錠","brand_product","支持療法・併存症"
"リンゼス錠","brand_product","支持療法・併存症"
"ルネスタ錠","brand_product","支持療法・併存症"
"ルパタジンフマル酸塩","generic_ingredient","支持療法・併存症"
"ルパフィン錠","brand_product","支持療法・併存症"
"ルビプロストン","generic_ingredient","支持療法・併存症"
"ルビプロストンカプセル 等","generic_product","支持療法・併存症"
"レバミピド","generic_ingredient","支持療法・併存症"
"レバミピド錠 等","generic_product","支持療法・併存症"
"レパグリニド","generic_ingredient","支持療法・併存症"
"レパグリニド錠 等","generic_product","支持療法・併存症"
"レボセチリジン塩酸塩","generic_ingredient","支持療法・併存症"
"レボセチリジン塩酸塩錠 等","generic_product","支持療法・併存症"
"レンドルミン錠","brand_product","支持療法・併存症"
"レンボレキサント","generic_ingredient","支持療法・併存症"
"ロキソニン錠／テープ","brand_product","支持療法・併存症"
"ロキソプロフェンNa錠／テープ 等","generic_product","支持療法・併存症"
"ロキソプロフェンナトリウム水和物","generic_ingredient","支持療法・併存症"
"ロスバスタチンカルシウム","generic_ingredient","支持療法・併存症"
"ロスバスタチン錠／OD錠 等","generic_product","支持療法・併存症"
"ロゼレム錠","brand_product","支持療法・併存症"
"ロラタジン","generic_ingredient","支持療法・併存症"
"ロラタジン錠／OD錠 等","generic_product","支持療法・併存症"
"ワルファリンK錠 等","generic_product","支持療法・併存症"
"ワルファリンカリウム","generic_ingredient","支持療法・併存症"
"ワーファリン錠","brand_product","支持療法・併存症"
"芍薬甘草湯","generic_ingredient","支持療法・併存症"
"芍薬甘草湯エキス顆粒（クラシエ 等）","generic_product","支持療法・併存症"
"酢酸亜鉛水和物","generic_ingredient","支持療法・併存症"
"酢酸亜鉛錠 等","generic_product","支持療法・併存症"
